total_profit,total_wagered,roi,win_rate,num_bets,num_wins,high_pct,medium_pct,low_pct,confidence_stats
89536.36363636363,191100.00000000003,46.853146853146846,0.6595918367346939,1225,808,0.0,0.0,0.07,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 0.0, 'profit': 0.0}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 191100.00000000003, 'profit': 89536.36363636363}}"
95931.81818181791,204750.0,46.85314685314672,0.6595918367346939,1225,808,0.0,0.0,0.075,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 0.0, 'profit': 0.0}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 204750.0, 'profit': 95931.81818181791}}"
102327.27272727231,218400.0,46.85314685314667,0.6595918367346939,1225,808,0.0,0.0,0.08,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 0.0, 'profit': 0.0}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 218400.0, 'profit': 102327.27272727231}}"
108722.72727272773,232050.00000000003,46.853146853147045,0.6595918367346939,1225,808,0.0,0.0,0.085,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 0.0, 'profit': 0.0}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 232050.00000000003, 'profit': 108722.72727272773}}"
115118.18181818219,245700.0,46.853146853147,0.6595918367346939,1225,808,0.0,0.0,0.09,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 0.0, 'profit': 0.0}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 245700.0, 'profit': 115118.18181818219}}"
121513.63636363654,259350.0,46.853146853146924,0.6595918367346939,1225,808,0.0,0.0,0.095,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 0.0, 'profit': 0.0}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 259350.0, 'profit': 121513.63636363654}}"
5631.818181818162,27300.0,20.629370629370555,0.6595918367346939,1225,808,0.0,0.005,0.0,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 0.0, 'profit': 0.0}}"
12027.272727272717,40950.0,29.37062937062935,0.6595918367346939,1225,808,0.0,0.005,0.005,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 13650.0, 'profit': 6395.45454545452}}"
18422.727272727225,54600.0,33.74125874125865,0.6595918367346939,1225,808,0.0,0.005,0.01,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 27300.0, 'profit': 12790.90909090904}}"
24818.18181818164,68250.0,36.363636363636104,0.6595918367346939,1225,808,0.0,0.005,0.015,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 40950.0, 'profit': 19186.36363636358}}"
31213.636363636044,81900.0,38.11188811188772,0.6595918367346939,1225,808,0.0,0.005,0.02,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 54600.0, 'profit': 25581.81818181808}}"
37609.09090909082,95550.0,39.36063936063927,0.6595918367346939,1225,808,0.0,0.005,0.025,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 68250.0, 'profit': 31977.272727272823}}"
44004.5454545451,109200.0,40.297202797202466,0.6595918367346939,1225,808,0.0,0.005,0.03,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 81900.0, 'profit': 38372.72727272716}}"
50399.999999999716,122850.0,41.025641025640795,0.6595918367346939,1225,808,0.0,0.005,0.035,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 95550.00000000001, 'profit': 44768.181818181816}}"
56795.45454545403,136500.0,41.60839160839123,0.6595918367346939,1225,808,0.0,0.005,0.04,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 109200.0, 'profit': 51163.63636363616}}"
63190.909090909016,150150.0,42.08518753973294,0.6595918367346939,1225,808,0.0,0.005,0.045,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 122850.0, 'profit': 57559.09090909109}}"
69586.36363636352,163800.0,42.48251748251741,0.6595918367346939,1225,808,0.0,0.005,0.05,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 136500.0, 'profit': 63954.545454545645}}"
75981.81818181784,177450.0,42.81871974179647,0.6595918367346939,1225,808,0.0,0.005,0.055,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 150150.0, 'profit': 70350.0}}"
82377.27272727215,191100.0,43.106893106892805,0.6595918367346939,1225,808,0.0,0.005,0.06,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 163800.0, 'profit': 76745.45454545433}}"
88772.72727272658,204750.0,43.35664335664302,0.6595918367346939,1225,808,0.0,0.005,0.065,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 177450.0, 'profit': 83140.90909090878}}"
95168.18181818143,218400.0,43.57517482517464,0.6595918367346939,1225,808,0.0,0.005,0.07,"{'HIGH': {'bets': 406, 'wins': 253, 'wagered': 0.0, 'profit': 0.0}, 'MEDIUM': {'bets': 546, 'wins': 345, 'wagered': 27300.0, 'profit': 5631.818181818162}, 'LOW': {'bets': 273, 'wins': 210, 'wagered': 191100.00000000003, 'profit': 89536.36363636363}}"
