,ats_accuracy,mae,rmse,correlation
elo,0.6431535269709544,11.752465596347326,14.874018365631409,0.36309246036964826
neural_network,0.6721991701244814,11.89702079962063,15.690518559839251,0.2413024101577026
xgboost,0.6141078838174274,11.679331736801448,14.670973551618431,0.32454893554554576
ensemble,0.6390041493775933,11.611050334658987,14.73236420671006,0.3307388261800274
