total_profit,total_wagered,roi,win_rate,num_bets,num_wins,high_pct,medium_pct,low_pct
0.0,0.0,0.0,0.6586538461538461,1456,959,0.0,0.0,0.0
7240.909090909051,16050.0,45.11469838572618,0.6586538461538461,1456,959,0.0,0.0,0.005
14481.818181818102,32100.0,45.11469838572618,0.6586538461538461,1456,959,0.0,0.0,0.01
21722.727272727207,48150.0,45.114698385726285,0.6586538461538461,1456,959,0.0,0.0,0.015
28963.636363636204,64200.0,45.11469838572618,0.6586538461538461,1456,959,0.0,0.0,0.02
36204.54545454557,80250.0,45.11469838572657,0.6586538461538461,1456,959,0.0,0.0,0.025
43445.45454545441,96300.0,45.114698385726285,0.6586538461538461,1456,959,0.0,0.0,0.03
50686.36363636357,112350.00000000001,45.114698385726356,0.6586538461538461,1456,959,0.0,0.0,0.035
57927.27272727241,128400.0,45.11469838572618,0.6586538461538461,1456,959,0.0,0.0,0.04
65168.181818182085,144450.0,45.11469838572661,0.6586538461538461,1456,959,0.0,0.0,0.045
72409.09090909114,160500.0,45.11469838572657,0.6586538461538461,1456,959,0.0,0.0,0.05
79650.0,176550.0,45.11469838572642,0.6586538461538461,1456,959,0.0,0.0,0.055
86890.90909090883,192600.0,45.114698385726285,0.6586538461538461,1456,959,0.0,0.0,0.06
94131.81818181778,208650.0,45.11469838572623,0.6586538461538461,1456,959,0.0,0.0,0.065
101372.72727272713,224700.00000000003,45.114698385726356,0.6586538461538461,1456,959,0.0,0.0,0.07
108613.63636363592,240750.0,45.114698385726236,0.6586538461538461,1456,959,0.0,0.0,0.075
115854.54545454482,256800.0,45.11469838572618,0.6586538461538461,1456,959,0.0,0.0,0.08
123095.45454545523,272850.00000000006,45.11469838572666,0.6586538461538461,1456,959,0.0,0.0,0.085
130336.36363636417,288900.0,45.11469838572661,0.6586538461538461,1456,959,0.0,0.0,0.09
137577.27272727288,304950.0,45.11469838572648,0.6586538461538461,1456,959,0.0,0.0,0.095
6736.36363636359,32400.0,20.791245791245647,0.6586538461538461,1456,959,0.0,0.005,0.0
13977.272727272766,48450.0,28.848860118210045,0.6586538461538461,1456,959,0.0,0.005,0.005
21218.181818181718,64500.0,32.89640591966158,0.6586538461538461,1456,959,0.0,0.005,0.01
28459.090909090635,80550.0,35.33096326392382,0.6586538461538461,1456,959,0.0,0.005,0.015
35699.9999999996,96600.0,36.956521739130025,0.6586538461538461,1456,959,0.0,0.005,0.02
42940.909090908935,112650.0,38.118871807287114,0.6586538461538461,1456,959,0.0,0.005,0.025
50181.81818181772,128700.0,38.991311718584086,0.6586538461538461,1456,959,0.0,0.005,0.03
57422.727272726836,144750.0,39.670277908619575,0.6586538461538461,1456,959,0.0,0.005,0.035
64663.63636363565,160800.0,40.213704206241076,0.6586538461538461,1456,959,0.0,0.005,0.04
71904.54545454538,176850.0,40.658493330249016,0.6586538461538461,1456,959,0.0,0.005,0.045
79145.45454545438,192900.0,41.029266223667385,0.6586538461538461,1456,959,0.0,0.005,0.05
86386.36363636321,208950.0,41.34307903152104,0.6586538461538461,1456,959,0.0,0.005,0.055
93627.27272727202,225000.0,41.6121212121209,0.6586538461538461,1456,959,0.0,0.005,0.06
100868.18181818095,241050.0,41.84533574701554,0.6586538461538461,1456,959,0.0,0.005,0.065
108109.0909090903,257100.0,42.04943248117087,0.6586538461538461,1456,959,0.0,0.005,0.07
115349.99999999905,273150.0,42.22954420647961,0.6586538461538461,1456,959,0.0,0.005,0.075
122590.90909090794,289200.0,42.389664277630686,0.6586538461538461,1456,959,0.0,0.005,0.08
129831.81818181842,305250.0,42.53294616930989,0.6586538461538461,1456,959,0.0,0.005,0.085
137072.7272727276,321300.0,42.66191325014865,0.6586538461538461,1456,959,0.0,0.005,0.09
144313.63636363644,337350.0,42.778608674562456,0.6586538461538461,1456,959,0.0,0.005,0.095
13472.72727272718,64800.0,20.791245791245647,0.6586538461538461,1456,959,0.0,0.01,0.0
20713.6363636363,80850.0,25.61983471074372,0.6586538461538461,1456,959,0.0,0.01,0.005
27954.545454545532,96900.0,28.848860118210045,0.6586538461538461,1456,959,0.0,0.01,0.01
35195.454545454566,112950.0,31.160207654231577,0.6586538461538461,1456,959,0.0,0.01,0.015
42436.363636363436,129000.0,32.89640591966158,0.6586538461538461,1456,959,0.0,0.01,0.02
49677.27272727257,145050.0,34.24837830215275,0.6586538461538461,1456,959,0.0,0.01,0.025
56918.18181818127,161100.0,35.33096326392382,0.6586538461538461,1456,959,0.0,0.01,0.03
64159.09090909034,177150.0,36.217381263951644,0.6586538461538461,1456,959,0.0,0.01,0.035
71399.9999999992,193200.0,36.956521739130025,0.6586538461538461,1456,959,0.0,0.01,0.04
78640.9090909089,209250.0,37.58227435646781,0.6586538461538461,1456,959,0.0,0.01,0.045
85881.81818181787,225300.0,38.118871807287114,0.6586538461538461,1456,959,0.0,0.01,0.05
93122.72727272667,241350.0,38.58410079665493,0.6586538461538461,1456,959,0.0,0.01,0.055
100363.63636363544,257400.0,38.991311718584086,0.6586538461538461,1456,959,0.0,0.01,0.06
107604.54545454434,273450.0,39.35072059043493,0.6586538461538461,1456,959,0.0,0.01,0.065
114845.45454545367,289500.0,39.670277908619575,0.6586538461538461,1456,959,0.0,0.01,0.07
122086.36363636241,305550.0,39.95626366760347,0.6586538461538461,1456,959,0.0,0.01,0.075
129327.2727272713,321600.0,40.213704206241076,0.6586538461538461,1456,959,0.0,0.01,0.08
136568.18181818168,337650.0,40.44667016679451,0.6586538461538461,1456,959,0.0,0.01,0.085
