,ats_accuracy,mae,rmse,correlation
elo,0.6628571428571428,11.250501754022793,14.382183603767931,0.45553683681974233
neural_network,0.6530612244897959,11.176769009769636,14.243368611805158,0.4434771198908618
xgboost,0.6555102040816326,11.300178440584212,14.360172266628004,0.4260438098908945
ensemble,0.6595918367346939,11.105532773182727,14.162171929942163,0.45546452789701936
