,ats_accuracy,mae,rmse,correlation
elo,0.6430594900849859,10.821050432921949,13.89018640510799,0.3932906185697007
neural_network,0.6543909348441926,10.648084571451534,13.659833344577473,0.3859832082463578
xgboost,0.6430594900849859,10.787389635888031,13.825205759264064,0.3577321962657829
ensemble,0.6515580736543909,10.612202725554562,13.647785576806546,0.3915606516122413
