GAME_DATE,HOME_TEAM,AWAY_TEAM,H2H_GAMES,H2H_HOME_WINS,H2H_AVG_MARGIN
2018-10-29,Philadelphia 76ers,Atlanta Hawks,0,0,0.0
2018-10-29,Indiana Pacers,Portland Trail Blazers,0,0,0.0
2018-10-29,New York Knicks,Brooklyn Nets,1,0,2.0
2018-10-30,Charlotte Hornets,Miami Heat,1,1,-1.0
2018-10-30,Cleveland Cavaliers,Atlanta Hawks,1,0,-22.0
2018-10-30,Orlando Magic,Sacramento Kings,0,0,0.0
2018-10-30,Boston Celtics,Detroit Pistons,1,1,-20.0
2018-10-30,Toronto Raptors,Philadelphia 76ers,0,0,0.0
2018-10-30,Houston Rockets,Portland Trail Blazers,0,0,0.0
2018-10-30,Memphis Grizzlies,Washington Wizards,0,0,0.0
2018-10-30,Oklahoma City Thunder,LA Clippers,1,0,16.0
2018-10-31,Golden State Warriors,New Orleans Pelicans,0,0,0.0
2018-10-31,Phoenix Suns,San Antonio Spurs,0,0,0.0
2018-10-31,Minnesota Timberwolves,Utah Jazz,0,0,0.0
2018-10-31,Los Angeles Lakers,Dallas Mavericks,0,0,0.0
2018-10-31,New York Knicks,Indiana Pacers,0,0,0.0
2018-10-31,Brooklyn Nets,Detroit Pistons,1,0,3.0
2018-10-31,Chicago Bulls,Denver Nuggets,0,0,0.0
2018-11-01,Charlotte Hornets,Oklahoma City Thunder,0,0,0.0
2018-11-01,Cleveland Cavaliers,Denver Nuggets,0,0,0.0
2018-11-01,Philadelphia 76ers,LA Clippers,0,0,0.0
2018-11-01,Atlanta Hawks,Sacramento Kings,0,0,0.0
2018-11-01,Boston Celtics,Milwaukee Bucks,0,0,0.0
2018-11-01,Portland Trail Blazers,New Orleans Pelicans,0,0,0.0
2018-11-02,Golden State Warriors,Minnesota Timberwolves,0,0,0.0
2018-11-02,Utah Jazz,Memphis Grizzlies,1,0,-8.0
2018-11-02,Chicago Bulls,Indiana Pacers,0,0,0.0
2018-11-02,Phoenix Suns,Toronto Raptors,0,0,0.0
2018-11-02,Brooklyn Nets,Houston Rockets,0,0,0.0
2018-11-02,Orlando Magic,LA Clippers,0,0,0.0
2018-11-02,Washington Wizards,Oklahoma City Thunder,0,0,0.0
2018-11-02,Dallas Mavericks,New York Knicks,0,0,0.0
2018-11-03,Philadelphia 76ers,Detroit Pistons,1,0,1.0
2018-11-03,Charlotte Hornets,Cleveland Cavaliers,0,0,0.0
2018-11-03,Indiana Pacers,Boston Celtics,0,0,0.0
2018-11-03,Atlanta Hawks,Miami Heat,0,0,0.0
2018-11-03,Chicago Bulls,Houston Rockets,0,0,0.0
2018-11-03,San Antonio Spurs,New Orleans Pelicans,0,0,0.0
2018-11-03,Denver Nuggets,Utah Jazz,0,0,0.0
2018-11-03,Portland Trail Blazers,Los Angeles Lakers,1,1,9.0
2018-11-04,San Antonio Spurs,Orlando Magic,0,0,0.0
2018-11-04,Los Angeles Lakers,Toronto Raptors,0,0,0.0
2018-11-04,Portland Trail Blazers,Minnesota Timberwolves,0,0,0.0
2018-11-04,Phoenix Suns,Memphis Grizzlies,1,0,21.0
2018-11-04,Brooklyn Nets,Philadelphia 76ers,0,0,0.0
2018-11-04,Milwaukee Bucks,Sacramento Kings,0,0,0.0
2018-11-04,Washington Wizards,New York Knicks,0,0,0.0
2018-11-05,Detroit Pistons,Miami Heat,0,0,0.0
2018-11-05,Indiana Pacers,Houston Rockets,0,0,0.0
2018-11-05,Orlando Magic,Cleveland Cavaliers,0,0,0.0
2018-11-05,New York Knicks,Chicago Bulls,0,0,0.0
2018-11-05,Oklahoma City Thunder,New Orleans Pelicans,0,0,0.0
2018-11-05,Denver Nuggets,Boston Celtics,0,0,0.0
2018-11-05,Utah Jazz,Toronto Raptors,0,0,0.0
2018-11-05,Golden State Warriors,Memphis Grizzlies,0,0,0.0
2018-11-05,LA Clippers,Minnesota Timberwolves,0,0,0.0
2018-11-06,Portland Trail Blazers,Milwaukee Bucks,0,0,0.0
2018-11-06,Phoenix Suns,Brooklyn Nets,0,0,0.0
2018-11-06,Dallas Mavericks,Washington Wizards,0,0,0.0
2018-11-06,Charlotte Hornets,Atlanta Hawks,0,0,0.0
2018-11-07,Cleveland Cavaliers,Oklahoma City Thunder,0,0,0.0
2018-11-07,Orlando Magic,Detroit Pistons,0,0,0.0
2018-11-07,Atlanta Hawks,New York Knicks,1,0,19.0
2018-11-07,Miami Heat,San Antonio Spurs,0,0,0.0
2018-11-07,Indiana Pacers,Philadelphia 76ers,0,0,0.0
