GAME_DATE,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE,PRE_ELO_HOME,PRE_ELO_AWAY,POST_ELO_HOME,POST_ELO_AWAY,WIN_PROB_HOME,EXPECTED_MARGIN,ACTUAL_MARGIN
2018-10-16,Boston Celtics,Philadelphia 76ers,105,87,1500.0,1500.0,1515.2897779038865,1484.7102220961135,0.6400649998028851,4.0,18
2018-10-16,Golden State Warriors,Oklahoma City Thunder,108,100,1500.0,1500.0,1511.4096695601897,1488.5903304398103,0.6400649998028851,4.0,8
2018-10-17,Charlotte Hornets,Milwaukee Bucks,112,113,1500.0,1500.0,1480.7980500059134,1519.2019499940866,0.6400649998028851,4.0,-1
2018-10-17,Detroit Pistons,Brooklyn Nets,103,100,1500.0,1500.0,1507.1987000039423,1492.8012999960577,0.6400649998028851,4.0,3
2018-10-17,Indiana Pacers,Memphis Grizzlies,111,83,1500.0,1500.0,1517.4855739043883,1482.5144260956117,0.6400649998028851,4.0,28
2018-10-17,Orlando Magic,Miami Heat,104,101,1500.0,1500.0,1507.1987000039423,1492.8012999960577,0.6400649998028851,4.0,3
2018-10-17,New York Knicks,Atlanta Hawks,126,107,1500.0,1500.0,1515.556131896852,1484.443868103148,0.6400649998028851,4.0,19
2018-10-17,Toronto Raptors,Cleveland Cavaliers,116,104,1500.0,1500.0,1513.3191777067852,1486.6808222932148,0.6400649998028851,4.0,12
2018-10-17,Houston Rockets,New Orleans Pelicans,112,131,1500.0,1500.0,1458.5052764219674,1541.4947235780326,0.6400649998028851,4.0,-19
2018-10-17,San Antonio Spurs,Minnesota Timberwolves,112,108,1500.0,1500.0,1508.3574318929097,1491.6425681070903,0.6400649998028851,4.0,4
2018-10-17,Sacramento Kings,Utah Jazz,117,123,1500.0,1500.0,1473.0466555854985,1526.9533444145015,0.6400649998028851,4.0,-6
2018-10-17,LA Clippers,Denver Nuggets,98,107,1500.0,1500.0,1468.1062514190107,1531.8937485809893,0.6400649998028851,4.0,-9
2018-10-17,Phoenix Suns,Dallas Mavericks,121,100,1500.0,1500.0,1516.0510552053324,1483.9489447946676,0.6400649998028851,4.0,21
2018-10-18,Portland Trail Blazers,Los Angeles Lakers,128,119,1500.0,1500.0,1511.9567818948808,1488.0432181051192,0.6400649998028851,4.0,9
2018-10-18,Washington Wizards,Miami Heat,112,113,1500.0,1492.8012999960577,1480.5133391830823,1512.2879608129754,0.6495553605639253,4.287948000157694,-1
2018-10-18,Philadelphia 76ers,Chicago Bulls,127,108,1484.7102220961135,1500.0,1501.1530730083723,1483.5571490877412,0.6195482536669227,3.3884088838445403,19
2018-10-19,Orlando Magic,Charlotte Hornets,88,120,1507.1987000039423,1480.7980500059134,1456.1784681001502,1531.8182819097055,0.674282919435867,5.056025999921157,-32
2018-10-19,Brooklyn Nets,New York Knicks,107,105,1492.8012999960577,1515.556131896852,1500.6139280120005,1507.7435038809092,0.6093685992028609,3.089806723968222,2
2018-10-19,Toronto Raptors,Boston Celtics,113,101,1513.3191777067852,1515.2897779038865,1526.735214780664,1501.8737408300078,0.6374474901426556,3.92117599211595,12
2018-10-19,Memphis Grizzlies,Atlanta Hawks,131,117,1482.5144260956117,1484.443868103148,1496.6768168418141,1470.2814773569455,0.6375022438017206,3.9228223196985526,14
2018-10-19,Minnesota Timberwolves,Cleveland Cavaliers,131,123,1491.6425681070903,1486.6808222932148,1502.8444958152609,1475.4788945850441,0.6466185255779346,4.19846983255502,8
2018-10-19,New Orleans Pelicans,Sacramento Kings,149,129,1541.4947235780326,1473.0466555854985,1553.571280628865,1460.970098534666,0.7250527252834035,6.7379227197013645,20
2018-10-19,Milwaukee Bucks,Indiana Pacers,118,101,1519.2019499940866,1517.4855739043883,1534.1161843775008,1502.571339520974,0.6423380665538222,4.068655043587933,17
2018-10-19,Utah Jazz,Golden State Warriors,123,124,1526.9533444145015,1511.4096695601897,1507.1410376083982,1531.2219763662931,0.6604102268701151,4.621746994172472,-1
2018-10-19,LA Clippers,Oklahoma City Thunder,108,92,1468.1062514190107,1488.5903304398103,1483.9461658590049,1472.7504159998161,0.6124756345149144,3.180636839168019,16
2018-10-20,Los Angeles Lakers,Houston Rockets,115,124,1488.0432181051192,1458.5052764219674,1454.247412985046,1492.3010815420407,0.6782367379170923,5.18151766732607,-9
2018-10-20,Portland Trail Blazers,San Antonio Spurs,121,108,1511.9567818948808,1508.3574318929097,1525.4795768789247,1494.8346369088658,0.6448244185037584,4.143974000078843,13
2018-10-20,Denver Nuggets,Phoenix Suns,119,91,1531.8937485809893,1516.0510552053324,1548.3722070897315,1499.5725966965902,0.66079615121447,4.633707735026274,28
2018-10-20,Dallas Mavericks,Minnesota Timberwolves,140,136,1483.9489447946676,1502.8444958152609,1492.8966390730075,1493.896801536921,0.6146437825511601,3.244177959176268,4
2018-10-20,Chicago Bulls,Detroit Pistons,116,118,1483.5571490877412,1507.1987000039423,1465.312562455718,1525.4432866359655,0.6081528877341074,3.0543379633519545,-2
2018-10-20,New York Knicks,Boston Celtics,101,103,1507.7435038809092,1501.8737408300078,1488.3091443009632,1521.3081004099538,0.6478119859982013,4.2347905220360555,-2
2018-10-20,Philadelphia 76ers,Orlando Magic,116,115,1501.1530730083723,1456.1784681001502,1507.2067885194424,1450.1247525890801,0.6973142244464967,5.798984196328884,1
2018-10-20,Washington Wizards,Toronto Raptors,113,117,1480.5133391830823,1526.735214780664,1460.424688412441,1546.823865551305,0.576780731349213,2.151124976096735,-4
2018-10-20,Indiana Pacers,Brooklyn Nets,132,112,1502.571339520974,1500.6139280120005,1518.2669884600823,1484.9182790728923,0.6426567702573159,4.078296460358943,20
2018-10-20,Miami Heat,Charlotte Hornets,112,113,1512.2879608129754,1531.8182819097055,1493.874622646873,1550.231620075808,0.6137779388700835,3.218787156130793,-1
2018-10-21,Cleveland Cavaliers,Atlanta Hawks,111,133,1475.4788945850441,1470.2814773569455,1431.5825801195458,1514.1777918224439,0.6469284587664591,4.207896689123945,-22
2018-10-21,Oklahoma City Thunder,Sacramento Kings,120,131,1472.7504159998161,1460.970098534666,1437.4993898104203,1496.2211247240618,0.6555350054996781,4.471212698606005,-11
2018-10-21,Denver Nuggets,Golden State Warriors,100,98,1548.3722070897315,1531.2219763662931,1555.1225832255589,1524.4716002304658,0.6624811932086369,4.686009228937537,2
2018-10-21,LA Clippers,Houston Rockets,115,112,1483.9461658590049,1492.3010815420407,1491.3679286529111,1484.8793187481344,0.6289118603046848,3.6658033726785653,3
2018-10-22,Los Angeles Lakers,San Antonio Spurs,142,143,1454.247412985046,1494.8346369088658,1436.707070901838,1512.3749789920737,0.5846780694402629,2.3765110430472034,-1
2018-10-22,Golden State Warriors,Phoenix Suns,123,103,1524.4716002304658,1499.5725966965902,1538.8616408828586,1485.1825560441973,0.6723815865910476,4.9959601413550265,20
2018-10-22,Portland Trail Blazers,Washington Wizards,124,125,1525.4795768789247,1460.424688412441,1503.8453232775275,1482.058942013838,0.7211417867132422,6.602195538659353,-1
2018-10-22,Utah Jazz,Memphis Grizzlies,84,92,1507.1410376083982,1496.6768168418141,1476.0525249839548,1527.7653294662575,0.653822253634774,4.418568830663362,-8
2018-10-22,Dallas Mavericks,Chicago Bulls,115,109,1492.8966390730075,1465.312562455718,1501.9987208536959,1456.2104806750297,0.6757773052073779,5.1033630646915755,6
2018-10-22,Milwaukee Bucks,New York Knicks,124,113,1534.1161843775008,1488.3091443009632,1544.9311316257274,1477.4941970527366,0.6983246757518076,5.832281603061501,11
2018-10-22,Toronto Raptors,Charlotte Hornets,127,106,1546.823865551305,1550.231620075808,1563.0770050750275,1533.9784805520856,0.6355333837658645,3.8636898190198825,21
2018-10-22,Boston Celtics,Orlando Magic,90,93,1521.3081004099538,1450.1247525890801,1499.46268631134,1471.970166687694,0.728180469953795,6.847333912834947,-3
2018-10-22,Minnesota Timberwolves,Indiana Pacers,101,91,1493.896801536921,1518.2669884600823,1507.487078127694,1504.6767118693092,0.6071529057676113,3.025192523073547,10
2018-10-23,Detroit Pistons,Philadelphia 76ers,133,132,1525.4432866359655,1507.2067885194424,1532.1657275880311,1500.4843475673767,0.6638779523967208,4.729459924660923,1
2018-10-23,New Orleans Pelicans,LA Clippers,116,109,1553.571280628865,1491.3679286529111,1562.0364140210722,1482.902795260704,0.7178288869264268,6.488134079038154,7
2018-10-23,Denver Nuggets,Sacramento Kings,126,112,1555.1225832255589,1496.2211247240618,1566.2977330316241,1485.0459749179965,0.7139630728685742,6.356058340059881,14
2018-10-24,Milwaukee Bucks,Philadelphia 76ers,123,108,1544.9311316257274,1500.4843475673767,1557.0642301068744,1488.3512490862297,0.6966725379713218,5.777871362334026,15
2018-10-24,Golden State Warriors,Washington Wizards,144,122,1538.8616408828586,1482.058942013838,1551.9125947654386,1469.0079881312581,0.7114894410785091,6.2721079547608225,22
2018-10-24,Sacramento Kings,Memphis Grizzlies,97,92,1485.0459749179965,1527.7653294662575,1495.8590118863074,1516.9522924979467,0.581694629407804,2.291225818069561,5
2018-10-24,Phoenix Suns,Los Angeles Lakers,113,131,1485.1825560441973,1436.707070901838,1440.4805016253035,1481.4091253207316,0.7015508037338728,5.939019405694371,-18
2018-10-24,San Antonio Spurs,Indiana Pacers,96,116,1512.3749789920737,1504.6767118693092,1469.5360685819867,1547.5156222793962,0.6502096924647346,4.30793068491058,-20
2018-10-24,Cleveland Cavaliers,Brooklyn Nets,86,102,1431.5825801195458,1484.9182790728923,1396.8337664201533,1519.6670927722848,0.5667544073014418,1.8665720418661385,-16
2018-10-24,Chicago Bulls,Charlotte Hornets,112,110,1456.2104806750297,1533.9784805520856,1465.5714642024097,1524.6174970247055,0.5319508236309936,0.889280004917764,2
2018-10-24,Toronto Raptors,Minnesota Timberwolves,112,105,1563.0770050750275,1507.487078127694,1571.775377099632,1498.7887061030897,0.710054265846521,6.223597077893337,7
2018-10-24,Miami Heat,New York Knicks,110,87,1493.874622646873,1477.4941970527366,1509.39519614345,1461.9736235561595,0.6614896306319654,4.655217023765454,23
2018-10-24,Houston Rockets,Utah Jazz,89,100,1484.8793187481344,1476.0525249839548,1449.8352840478876,1511.0965596842016,0.6516857511191483,4.353071750567187,-11
2018-10-24,Atlanta Hawks,Dallas Mavericks,111,104,1514.1777918224439,1501.9987208536959,1524.4961974983466,1491.680315177793,0.6560531441365726,4.487162838749919,7
2018-10-25,Detroit Pistons,Cleveland Cavaliers,110,103,1532.1657275880311,1396.8337664201533,1538.3189182973192,1390.6805757108652,0.7948936430237323,9.413278446715113,7
2018-10-25,Orlando Magic,Portland Trail Blazers,114,128,1471.970166687694,1503.8453232775275,1436.9955581202455,1538.819931844976,0.5968021151613705,2.724993736406659,-14
2018-10-25,Oklahoma City Thunder,Boston Celtics,95,101,1437.4993898104203,1499.46268631134,1414.148307046714,1522.8137690750461,0.5545215671457603,1.5214681399632173,-6
2018-10-25,Los Angeles Lakers,Denver Nuggets,121,114,1481.4091253207316,1566.2977330316241,1495.757125157016,1551.9497331953398,0.5217333387905233,0.6044556915642988,7
2018-10-26,Sacramento Kings,Washington Wizards,116,112,1495.8590118863074,1469.0079881312581,1503.4087133921666,1461.4582866253988,0.6748520540974966,5.0740409502019705,4
2018-10-26,New Orleans Pelicans,Brooklyn Nets,117,115,1562.0364140210722,1519.6670927722848,1568.1536246209812,1513.5498821723759,0.69413947000455,5.694772849951496,2
2018-10-26,Minnesota Timberwolves,Milwaukee Bucks,95,125,1498.7887061030897,1557.0642301068744,1457.1913415846448,1598.6615946253194,0.5597593354847161,1.6689790398486093,-30
2018-10-26,Charlotte Hornets,Chicago Bulls,135,106,1524.6174970247055,1465.5714642024097,1538.6446778746879,1451.5442833524273,0.7141330018130766,6.361841312891829,29
2018-10-26,Toronto Raptors,Dallas Mavericks,116,107,1571.775377099632,1491.680315177793,1580.471693249896,1482.983999027529,0.7382147986993446,7.203802476873552,9
2018-10-26,New York Knicks,Golden State Warriors,100,128,1461.9736235561595,1551.9125947654386,1424.4839814511056,1589.4022368704925,0.5144749384933787,0.4024411516288364,-28
2018-10-26,Houston Rockets,LA Clippers,113,133,1449.8352840478876,1482.902795260704,1410.624007532983,1522.1140717756086,0.5951494050582238,2.677299551487349,-20
2018-10-27,Miami Heat,Portland Trail Blazers,120,111,1509.39519614345,1538.819931844976,1522.6765407310959,1525.5385872573302,0.6001916896369113,2.8230105719389575,9
2018-10-27,Milwaukee Bucks,Orlando Magic,113,91,1598.6615946253194,1436.9955581202455,1606.871503117866,1428.7856496276988,0.8185078800224327,10.466641460202954,22
2018-10-27,Memphis Grizzlies,Phoenix Suns,117,96,1516.9522924979467,1440.4805016253035,1528.8070634116589,1428.6257307115914,0.7341640835085878,7.058871634905727,21
2018-10-27,Philadelphia 76ers,Charlotte Hornets,105,103,1488.3512490862297,1538.6446778746879,1496.9302607691575,1530.06566619176,0.5710494158536108,1.9882628484616724,2
2018-10-27,San Antonio Spurs,Los Angeles Lakers,110,106,1469.5360685819867,1495.757125157016,1478.7167692966734,1486.5764244423292,0.6046087415496781,2.9511577369988298,4
2018-10-27,Atlanta Hawks,Chicago Bulls,85,97,1524.4961974983466,1451.5442833524273,1483.9657873227893,1492.0746935279847,0.7301908829349899,6.918076565836773,-12
2018-10-27,New Orleans Pelicans,Utah Jazz,111,132,1568.1536246209812,1511.0965596842016,1520.5409476574268,1558.709236647756,0.7117899175695652,6.282282597471185,-21
2018-10-27,Detroit Pistons,Boston Celtics,89,109,1538.3189182973192,1522.8137690750461,1494.8112250961267,1566.3214622762387,0.6603604887564168,4.620205968890923,-20
2018-10-27,Cleveland Cavaliers,Indiana Pacers,107,119,1390.6805757108652,1547.5156222793962,1375.1783365482747,1563.0178614419867,0.418929650078939,-2.2734018627412387,-12
2018-10-28,Brooklyn Nets,Golden State Warriors,114,120,1513.5498821723759,1589.4022368704925,1491.0336854530967,1611.9184335897717,0.5346954065163556,0.9659058120753343,-6
2018-10-28,Dallas Mavericks,Utah Jazz,104,113,1482.983999027529,1558.709236647756,1456.3316322409407,1585.3616034343443,0.5348774572134342,0.9709904951909266,-9
2018-10-28,Oklahoma City Thunder,Phoenix Suns,117,110,1414.148307046714,1428.6257307115914,1425.5288107953431,1417.2452269629623,0.6206498750457001,3.420903053404909,7
2018-10-28,LA Clippers,Washington Wizards,136,104,1522.1140717756086,1461.4582866253988,1536.4390934380635,1447.133264962944,0.7160209665719615,6.426231406008392,32
2018-10-29,Denver Nuggets,New Orleans Pelicans,116,111,1551.9497331953398,1520.5409476574268,1560.2065571844116,1512.284123668355,0.6805824460986101,5.25635142151652,5
2018-10-29,San Antonio Spurs,Dallas Mavericks,113,108,1478.7167692966734,1456.3316322409407,1487.268188769121,1447.7802127684931,0.669185937124352,4.895405482229307,5
2018-10-29,Minnesota Timberwolves,Los Angeles Lakers,124,120,1457.1913415846448,1486.5764244423292,1466.4733312925446,1477.2944347344294,0.6002464620529087,2.8245966856926223,4
2018-10-29,Chicago Bulls,Golden State Warriors,124,149,1492.0746935279847,1611.9184335897717,1469.9133623720709,1634.0797647456855,0.47147357449098304,-0.7937496024714801,-25
2018-10-29,Milwaukee Bucks,Toronto Raptors,124,109,1606.871503117866,1580.471693249896,1619.9002288263753,1567.4429675413867,0.6742818572872721,5.055992394718805,15
2018-10-29,Miami Heat,Sacramento Kings,113,123,1522.6765407310959,1503.4087133921666,1488.1582581404514,1537.9269959828111,0.6652014241237602,4.77071309355717,-10
2018-10-29,Philadelphia 76ers,Atlanta Hawks,113,92,1496.9302607691575,1483.9657873227893,1512.2228733744794,1468.6731747174674,0.6570726067104703,4.518578937854727,21
2018-10-29,Indiana Pacers,Portland Trail Blazers,93,103,1563.0178614419867,1525.5385872573302,1527.3097480702133,1561.2467006291035,0.6881306393300751,5.499170967386262,-10
2018-10-29,New York Knicks,Brooklyn Nets,115,96,1424.4839814511056,1491.0336854530967,1444.0195002940147,1471.4981666101876,0.5479906556978863,1.3380118399203547,19
2018-10-30,Charlotte Hornets,Miami Heat,125,113,1530.06566619176,1488.1582581404514,1541.4047515575842,1476.8191727746273,0.6935746497845877,5.676296322052349,12
2018-10-30,Cleveland Cavaliers,Atlanta Hawks,136,114,1375.1783365482747,1468.6731747174674,1397.372714393872,1446.4787968718701,0.5093605866085412,0.2602064732322924,22
2018-10-30,Orlando Magic,Sacramento Kings,99,107,1428.7856496276988,1537.9269959828111,1413.3529464723383,1553.3596991381717,0.486847579937654,-0.36565385420449276,-8
2018-10-30,Boston Celtics,Detroit Pistons,108,105,1566.3214622762387,1494.8112250961267,1571.7504069360282,1489.3822804363372,0.7285527670105264,6.860409487204479,3
2018-10-30,Toronto Raptors,Philadelphia 76ers,129,112,1567.4429675413867,1512.2228733744794,1579.5517720630216,1500.1140688528444,0.7096157720475371,6.208803766676292,17
2018-10-30,Houston Rockets,Portland Trail Blazers,85,104,1410.624007532983,1561.2467006291035,1392.1408806601287,1579.7298275019577,0.42765928694461564,-2.024907723844826,-19
2018-10-30,Memphis Grizzlies,Washington Wizards,107,95,1528.8070634116589,1447.133264962944,1538.4294178152522,1437.5109105593506,0.7399672704727319,7.266951937948598,12
2018-10-30,Oklahoma City Thunder,LA Clippers,128,110,1425.5288107953431,1536.4390934380635,1445.24456383402,1516.7233403993866,0.4843040001066768,-0.43641130570881614,18
2018-10-31,Golden State Warriors,New Orleans Pelicans,131,121,1634.0797647456855,1512.284123668355,1641.624872653177,1504.7390157608636,0.7818974693171243,8.871825643093215,10
2018-10-31,Phoenix Suns,San Antonio Spurs,90,120,1417.2452269629623,1487.268188769121,1376.8907942411938,1527.6226214908893,0.5430336922951832,1.1990815277536513,-30
