GAME_ID_HOME,GAME_DATE_HOME,TEAM_NAME_HOME,TEAM_NAME_AWAY,PTS_HOME,PTS_AWAY,FG_PCT_HOME,FG_PCT_AWAY,FG3_PCT_HOME,FG3_PCT_AWAY,FT_PCT_HOME,FT_PCT_AWAY,REB_HOME,REB_AWAY,AST_HOME,AST_AWAY,STL_HOME,STL_AWAY,BLK_HOME,BLK_AWAY,TOV_HOME,TOV_AWAY,HOME_WIN,POINT_DIFFERENTIAL,TOTAL_POINTS
0021800035,2018-10-20,Los Angeles Lakers,Houston Rockets,115,124,0.48,0.458,0.25,0.381,0.611,0.667,44,54,28,22,8,7,10,4,10,16,0,-9,239
0021800036,2018-10-21,Cleveland Cavaliers,Atlanta Hawks,111,133,0.465,0.49,0.37,0.468,0.643,0.789,49,44,23,32,5,9,2,7,18,12,0,-22,244
0021800037,2018-10-21,Oklahoma City Thunder,Sacramento Kings,120,131,0.442,0.549,0.231,0.455,0.633,0.75,51,46,23,28,11,11,9,7,18,17,0,-11,251
0021800038,2018-10-21,Denver Nuggets,Golden State Warriors,100,98,0.407,0.456,0.188,0.241,0.571,0.792,47,40,21,22,11,4,4,6,8,18,1,2,198
0021800039,2018-10-21,LA Clippers,Houston Rockets,115,112,0.472,0.483,0.2,0.429,1.0,0.733,49,35,22,28,8,6,7,6,13,12,1,3,227
0021800040,2018-10-22,Boston Celtics,Orlando Magic,90,93,0.407,0.409,0.225,0.286,0.778,0.7,51,49,21,28,6,6,3,2,12,9,0,-3,183
0021800041,2018-10-22,Toronto Raptors,Charlotte Hornets,127,106,0.575,0.423,0.385,0.321,0.857,0.833,46,41,36,21,10,5,8,5,13,12,1,21,233
0021800042,2018-10-22,Milwaukee Bucks,New York Knicks,124,113,0.469,0.455,0.425,0.345,0.708,0.867,55,43,27,22,5,6,9,2,14,11,1,11,237
0021800043,2018-10-22,Minnesota Timberwolves,Indiana Pacers,101,91,0.424,0.391,0.212,0.308,0.917,0.688,47,45,24,18,9,6,12,6,15,15,1,10,192
0021800044,2018-10-22,Dallas Mavericks,Chicago Bulls,115,109,0.43,0.513,0.319,0.565,0.952,0.667,41,34,25,18,8,6,2,4,15,19,1,6,224
0021800045,2018-10-22,Utah Jazz,Memphis Grizzlies,84,92,0.354,0.369,0.25,0.321,0.783,0.808,50,43,18,18,6,10,6,2,15,10,0,-8,176
0021800046,2018-10-22,Portland Trail Blazers,Washington Wizards,124,125,0.398,0.418,0.282,0.405,0.871,0.692,70,54,22,23,6,6,4,7,19,10,0,-1,249
0021800047,2018-10-22,Golden State Warriors,Phoenix Suns,123,103,0.511,0.453,0.378,0.265,0.731,0.889,40,45,35,24,12,8,4,1,14,21,1,20,226
0021800048,2018-10-22,Los Angeles Lakers,San Antonio Spurs,142,143,0.514,0.515,0.359,0.536,0.692,0.737,52,47,33,32,5,9,6,3,15,9,0,-1,285
0021800049,2018-10-23,Detroit Pistons,Philadelphia 76ers,133,132,0.472,0.5,0.364,0.326,0.704,0.714,46,48,22,32,4,3,4,8,8,11,1,1,265
0021800050,2018-10-23,New Orleans Pelicans,LA Clippers,116,109,0.43,0.471,0.25,0.25,0.75,0.815,48,47,22,18,12,5,8,4,8,16,1,7,225
0021800051,2018-10-23,Denver Nuggets,Sacramento Kings,126,112,0.515,0.523,0.367,0.419,0.867,0.45,49,39,31,29,11,7,3,6,12,16,1,14,238
0021800052,2018-10-24,Atlanta Hawks,Dallas Mavericks,111,104,0.407,0.418,0.395,0.3,0.71,0.615,54,52,28,25,6,7,6,9,15,17,1,7,215
0021800053,2018-10-24,Cleveland Cavaliers,Brooklyn Nets,86,102,0.382,0.437,0.167,0.412,0.938,0.8,53,44,18,23,5,8,2,1,15,14,0,-16,188
0021800054,2018-10-24,Miami Heat,New York Knicks,110,87,0.476,0.363,0.448,0.364,0.679,0.643,51,45,24,20,7,5,5,3,13,12,1,23,197
0021800055,2018-10-24,Toronto Raptors,Minnesota Timberwolves,112,105,0.517,0.417,0.344,0.5,0.75,0.625,44,44,26,25,9,10,8,5,16,15,1,7,217
0021800056,2018-10-24,Chicago Bulls,Charlotte Hornets,112,110,0.481,0.435,0.345,0.286,0.8,0.897,45,36,21,23,4,5,5,5,14,6,1,2,222
0021800057,2018-10-24,Houston Rockets,Utah Jazz,89,100,0.402,0.436,0.275,0.345,0.571,0.786,35,47,16,21,12,7,5,5,15,18,0,-11,189
0021800058,2018-10-24,San Antonio Spurs,Indiana Pacers,96,116,0.402,0.529,0.316,0.531,0.952,0.875,46,40,16,34,3,9,3,5,13,10,0,-20,212
0021800059,2018-10-24,Milwaukee Bucks,Philadelphia 76ers,123,108,0.41,0.413,0.302,0.324,0.933,0.7,51,50,24,29,7,4,10,5,11,16,1,15,231
0021800060,2018-10-24,Phoenix Suns,Los Angeles Lakers,113,131,0.524,0.52,0.323,0.357,0.714,0.739,44,43,27,34,4,13,4,5,19,8,0,-18,244
0021800061,2018-10-24,Sacramento Kings,Memphis Grizzlies,97,92,0.422,0.383,0.333,0.27,0.636,0.769,57,49,19,18,7,7,5,6,14,15,1,5,189
0021800062,2018-10-24,Golden State Warriors,Washington Wizards,144,122,0.576,0.452,0.455,0.286,0.92,0.929,48,34,37,22,6,7,5,1,15,12,1,22,266
0021800063,2018-10-25,Detroit Pistons,Cleveland Cavaliers,110,103,0.526,0.461,0.393,0.333,0.586,0.867,48,30,21,18,4,11,5,1,20,9,1,7,213
0021800064,2018-10-25,Orlando Magic,Portland Trail Blazers,114,128,0.5,0.552,0.4,0.407,0.8,0.808,40,44,29,24,5,6,7,6,14,10,0,-14,242
0021800065,2018-10-25,Oklahoma City Thunder,Boston Celtics,95,101,0.394,0.384,0.25,0.344,0.56,0.727,57,45,19,19,5,7,6,1,16,11,0,-6,196
0021800066,2018-10-25,Los Angeles Lakers,Denver Nuggets,121,114,0.5,0.5,0.345,0.261,0.826,0.8,42,44,27,22,13,8,3,5,13,19,1,7,235
0021800067,2018-10-26,Charlotte Hornets,Chicago Bulls,135,106,0.57,0.435,0.438,0.444,0.938,0.727,50,34,30,21,10,5,10,7,10,13,1,29,241
0021800068,2018-10-26,New York Knicks,Golden State Warriors,100,128,0.433,0.586,0.333,0.485,0.75,0.833,40,39,17,26,6,10,1,6,19,14,0,-28,228
0021800069,2018-10-26,Toronto Raptors,Dallas Mavericks,116,107,0.484,0.413,0.407,0.4,0.85,0.792,50,44,23,22,10,6,5,6,12,14,1,9,223
0021800070,2018-10-26,Houston Rockets,LA Clippers,113,133,0.388,0.544,0.366,0.522,0.88,0.921,42,44,21,17,11,8,7,4,13,15,0,-20,246
0021800071,2018-10-26,Minnesota Timberwolves,Milwaukee Bucks,95,125,0.321,0.533,0.233,0.413,0.722,0.727,49,62,19,32,10,4,6,8,7,17,0,-30,220
0021800072,2018-10-26,New Orleans Pelicans,Brooklyn Nets,117,115,0.449,0.439,0.391,0.475,0.769,0.667,46,54,23,26,11,6,11,8,11,18,1,2,232
0021800073,2018-10-26,Sacramento Kings,Washington Wizards,116,112,0.463,0.465,0.378,0.333,0.609,0.783,53,42,25,22,8,8,4,7,18,21,1,4,228
0021800074,2018-10-27,Detroit Pistons,Boston Celtics,89,109,0.371,0.453,0.189,0.412,0.8,0.68,47,54,16,25,4,4,3,8,11,13,0,-20,198
0021800075,2018-10-27,New Orleans Pelicans,Utah Jazz,111,132,0.421,0.523,0.265,0.313,0.759,0.811,40,43,22,32,4,7,5,7,16,13,0,-21,243
0021800076,2018-10-27,Atlanta Hawks,Chicago Bulls,85,97,0.321,0.434,0.3,0.364,0.826,0.813,48,52,20,25,9,14,8,6,22,20,0,-12,182
0021800077,2018-10-27,Cleveland Cavaliers,Indiana Pacers,107,119,0.465,0.649,0.28,0.385,0.909,0.692,39,24,21,28,9,13,2,3,15,15,0,-12,226
0021800078,2018-10-27,Philadelphia 76ers,Charlotte Hornets,105,103,0.385,0.389,0.357,0.257,0.833,0.833,56,48,18,19,4,3,8,8,11,9,1,2,208
0021800079,2018-10-27,Miami Heat,Portland Trail Blazers,120,111,0.458,0.42,0.385,0.364,0.654,0.893,56,42,21,14,7,7,8,8,12,9,1,9,231
0021800080,2018-10-27,Memphis Grizzlies,Phoenix Suns,117,96,0.557,0.462,0.346,0.273,0.909,0.789,39,35,30,28,12,5,1,1,12,19,1,21,213
0021800081,2018-10-27,Milwaukee Bucks,Orlando Magic,113,91,0.5,0.327,0.333,0.233,0.913,0.882,57,41,24,21,6,9,7,6,21,11,1,22,204
0021800082,2018-10-27,San Antonio Spurs,Los Angeles Lakers,110,106,0.484,0.477,0.188,0.394,0.792,0.611,49,42,20,19,7,5,5,5,13,17,1,4,216
0021800083,2018-10-28,Brooklyn Nets,Golden State Warriors,114,120,0.483,0.494,0.476,0.333,0.667,0.875,37,47,28,28,5,11,3,7,15,12,0,-6,234
0021800084,2018-10-28,Dallas Mavericks,Utah Jazz,104,113,0.418,0.525,0.321,0.4,0.76,0.864,43,43,24,25,6,8,3,6,13,18,0,-9,217
0021800085,2018-10-28,Oklahoma City Thunder,Phoenix Suns,117,110,0.506,0.442,0.292,0.296,0.686,0.963,43,44,22,21,16,10,3,3,15,22,1,7,227
0021800086,2018-10-28,LA Clippers,Washington Wizards,136,104,0.544,0.392,0.552,0.185,0.615,0.821,57,45,35,18,7,7,9,3,14,14,1,32,240
0021800087,2018-10-29,Indiana Pacers,Portland Trail Blazers,93,103,0.411,0.487,0.316,0.385,0.65,0.944,35,50,19,19,8,3,5,3,8,18,0,-10,196
